unit,label,aggregation,selection_mode,nominal_budget,threshold,units,failures,failure_prevalence,reviewed_units,review_fraction,caught_failures,failure_recall,review_ppv,failure_recall_lift_over_random,false_referrals,safe_unit_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_units,remaining_failure_rate_unreviewed,auroc,auprc
frame,label_large_false_positive_001,none,exact_rank,0.05,,149685,115721,0.7730968366903831,7485,0.0500050105220964,7485,0.06468143206505302,1.0,1.2934990191927136,0,0.0,108236,0.9353185679349469,0.7230918261682867,0.7611533052039381,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,115721,0.7730968366903831,8728,0.05830911580986739,8728,0.07542278411005782,1.0,1.2934990191927136,0,0.0,106993,0.9245772158899422,0.7147877208805158,0.7590470852813269,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,exact_rank,0.1,,149685,115721,0.7730968366903831,14969,0.10000334034806427,14969,0.12935422265621624,1.0,1.2934990191927134,0,0.0,100752,0.8706457773437838,0.6730934963423189,0.7478844383740609,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,115721,0.7730968366903831,18314,0.12235026889801917,18314,0.15825995281755256,1.0,1.2934990191927136,0,0.0,97407,0.8417400471824474,0.650746567792364,0.7414650113038647,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,exact_rank,0.2,,149685,115721,0.7730968366903831,29937,0.2,29937,0.2586998038385427,1.0,1.2934990191927134,0,0.0,85784,0.7413001961614573,0.5730968366903831,0.716371045862979,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_001,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,115721,0.7730968366903831,35256,0.23553462270768613,35256,0.30466380345831784,1.0,1.2934990191927136,0,0.0,80465,0.6953361965416821,0.537562213982697,0.7031871291368447,0.9720057098587068,0.9911991371107806
frame,label_large_false_positive_005,none,exact_rank,0.01,,149685,104331,0.6970037077863513,1497,0.01000100210441928,1497,0.014348563705897576,1.0,1.4347125974063317,0,0.0,102834,0.9856514362941025,0.687002705681932,0.6939428293788971,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,104331,0.6970037077863513,1580,0.010555499883087818,1580,0.015144108654187154,1.0,1.4347125974063317,0,0.0,102751,0.9848558913458129,0.6864482079032636,0.693771310894298,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,exact_rank,0.05,,149685,104331,0.6970037077863513,7485,0.0500050105220964,7485,0.07174281852948788,1.0,1.4347125974063317,0,0.0,96846,0.9282571814705122,0.646998697264255,0.6810548523206751,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,frozen_sun_validation_threshold,0.05,0.09579211,149685,104331,0.6970037077863513,8728,0.05830911580986739,8728,0.08365682299604145,1.0,1.4347125974063317,0,0.0,95603,0.9163431770039585,0.6386945919764839,0.6782423008435197,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,exact_rank,0.1,,149685,104331,0.6970037077863513,14969,0.10000334034806427,14969,0.1434760521800807,1.0,1.4347125974063317,0,0.0,89362,0.8565239478199193,0.5970003674382871,0.6633362035689896,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,frozen_sun_validation_threshold,0.1,0.07180122,149685,104331,0.6970037077863513,18314,0.12235026889801917,18314,0.17553747208404022,1.0,1.4347125974063317,0,0.0,86017,0.8244625279159598,0.5746534388883322,0.6547639890082286,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,exact_rank,0.2,,149685,104331,0.6970037077863513,29937,0.2,29937,0.28694251948126637,1.0,1.4347125974063317,0,0.0,74394,0.7130574805187336,0.49700370778635133,0.6212546347329392,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_005,none,frozen_sun_validation_threshold,0.2,0.04186127,149685,104331,0.6970037077863513,35256,0.23553462270768613,35254,0.33790532056627465,0.9999432720671658,1.43463120912647,2,4.409754376681219e-05,69077,0.6620946794337254,0.4614824464709223,0.6036669026208391,0.9532250246921159,0.9790651727023174
frame,label_large_false_positive_010,none,exact_rank,0.01,,149685,92627,0.618812840297959,1497,0.01000100210441928,1497,0.01616159435153897,1.0,1.6159974953307352,0,0.0,91130,0.983838405648461,0.6088118381935398,0.6149620752017707,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,frozen_sun_validation_threshold,0.01,0.13528396,149685,92627,0.618812840297959,1580,0.010555499883087818,1580,0.01705766137303378,1.0,1.615997495330735,0,0.0,91047,0.9829423386269662,0.6082573404148712,0.6147462948583775,0.9515415126069834,0.9704843461758188
frame,label_large_false_positive_010,none,exact_rank,0.05,,149685,92627,0.618812840297959,7485,0.0500050105220964,7485,0.08080797175769484,1.0,1.6159974953307352,0,0.0,85142,0.9191920282423052,0.5688078297758626,0.5987482419127989,0.9515415126069834,0.9704843461758188
