hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_units,exact_p_value,p_value_bh
H0075,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0076,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0077,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,boundary_iou,8,0.0625,0.19246688741721854
H0078,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0079,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,boundary_iou,8,0.0234375,0.10330272511848342
H0080,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,boundary_iou,8,0.0078125,0.04403409090909091
H0081,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,mae,8,0.0078125,0.04403409090909091
H0082,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,mae,8,0.0078125,0.04403409090909091
H0083,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,mae,8,0.0078125,0.04403409090909091
H0084,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,mae,8,0.0078125,0.04403409090909091
H0085,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,mae,8,0.015625,0.07451923076923077
H0086,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,mae,8,0.0078125,0.04403409090909091
H0087,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,false_positive_fraction,8,0.8515625,0.9999408143939394
H0088,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,false_positive_fraction,8,0.8359375,0.9890863549618321
H0089,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,false_positive_fraction,8,0.796875,0.9440684713375797
H0090,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,false_positive_fraction,8,0.8515625,0.9999408143939394
H0091,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,false_positive_fraction,8,0.5625,0.7098032564450475
H0092,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,false_positive_fraction,8,0.7890625,0.9360052614795918
H0093,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_dice,8,0.03125,0.11487154150197629
H0094,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_dice,8,0.03125,0.11487154150197629
H0095,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_dice,4,0.125,0.26182432432432434
H0096,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_dice,4,0.375,0.5588942307692307
H0097,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_iou,8,0.015625,0.07451923076923077
H0098,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_iou,8,0.015625,0.07451923076923077
H0099,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_iou,4,0.125,0.26182432432432434
H0100,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_iou,4,0.25,0.41517857142857145
H0101,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_boundary_iou,8,0.0078125,0.04403409090909091
