hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0048,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,false_positive_frames,10000,0,8,4.5,5.625,-1.125,-1.875,-0.25,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
H0049,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,false_positive_frames,10000,0,4,6.75,7.25,-0.5,-1.5,0.0,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0050,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,false_positive_frames,10000,0,4,2.25,4.0,-1.75,-2.75,-0.5,0.25,exact_two_sided_paired_sign_flip,16,0.41517857142857145
H0051,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,false_positive_run_count,10000,0,8,1.75,2.375,-0.625,-1.25,-0.125,0.25,exact_two_sided_paired_sign_flip,256,0.41517857142857145
H0052,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,false_positive_run_count,10000,0,8,1.75,2.375,-0.625,-1.25,-0.125,0.25,exact_two_sided_paired_sign_flip,256,0.41517857142857145
H0053,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,false_positive_run_count,10000,0,4,2.5,3.0,-0.5,-1.5,0.0,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0054,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,false_positive_run_count,10000,0,4,1.0,1.75,-0.75,-1.5,0.0,0.5,exact_two_sided_paired_sign_flip,16,0.6396148555708391
H0055,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,prediction_fragment_count,10000,0,8,1.75,1.5,0.25,-0.25,0.875,0.75,exact_two_sided_paired_sign_flip,256,0.8908045977011494
H0056,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,prediction_fragment_count,10000,0,8,1.75,1.5,0.25,-0.25,0.875,0.75,exact_two_sided_paired_sign_flip,256,0.8908045977011494
H0057,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,prediction_fragment_count,10000,0,4,1.5,1.25,0.25,0.0,0.75,1.0,exact_two_sided_paired_sign_flip,16,1.0
