hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_id,value_a,value_b,delta
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq22,0.6625798120588707,0.6379070343167644,0.0246727777421063
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq23,0.15114533898956004,0.15114533898956004,0.0
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq16,0.8180485980122134,0.8180485980122134,0.0
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq17,0.8443530994566534,0.7702790253825792,0.07407407407407418
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq18,0.1957510760472749,0.14427106255427444,0.051480013493000465
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq19,0.637584598749055,0.6495583997261447,-0.011973800977089666
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq20,0.4223391556831343,0.4223391556831343,0.0
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq21,0.927020996792532,0.8714654412369764,0.05555555555555558
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq22,0.6908514285967067,0.6542402100116458,0.03661121858506089
H0017,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,boundary_iou,positive_seq23,0.08007755659622756,0.08007755659622756,0.0
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq16,0.7099556771401452,0.7099556771401452,0.0
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq17,0.5177342860359483,0.6092691871197501,-0.0915349010838018
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq18,0.24890922028452828,0.29721766639748065,-0.048308446112952375
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq19,0.5640363783530324,0.5640363783530324,0.0
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq20,0.4232692885464547,0.4232692885464547,0.0
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq21,0.6387807191369432,0.6594276513334462,-0.020646932196502932
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq22,0.6041518045473431,0.6041518045473431,0.0
H0018,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,boundary_iou,positive_seq23,0.197130374655834,0.197130374655834,0.0
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq16,0.008080132363829762,0.008080132363829762,0.0
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq17,0.020708808760410025,0.017698602189147282,0.0030102065712627434
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq18,0.09296738977233569,0.07561797282791563,0.017349416944420062
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq19,0.018516109682553048,0.027888745526849692,-0.009372635844296644
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq20,0.06441166278762886,0.06441166278762886,0.0
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq21,0.014286140470565962,0.007500290745935802,0.006785849724630161
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq22,0.007633770228889974,0.009070001158840529,-0.001436230929950555
H0019,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,mae,positive_seq23,0.060582352440438365,0.060582352440438365,0.0
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq16,0.00933268227416909,0.00933268227416909,0.0
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq17,0.023659470612818204,0.018665364483075046,0.004994106129743159
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq18,0.10068241222428956,0.0804361590417102,0.02024625318257936
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq19,0.01885276622223583,0.028395813627337868,-0.009543047405102038
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq20,0.054705841181379174,0.054705841181379174,0.0
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq21,0.032000954654067756,0.013453819584101438,0.018547135069966317
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq22,0.007980759784748609,0.008798063674475998,-0.0008173038897273891
H0020,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,mae,positive_seq23,0.06231933559886076,0.06231933559886076,0.0
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq16,0.0021752542150872095,0.0021752542150872095,0.0
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq17,0.013875697102201613,0.015459784245314566,-0.0015840871431129534
H0021,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,mae,positive_seq18,0.0312472101567047,0.037072483117559125,-0.005825272960854427
