predictor,cohort,control,dataset,split,sequence_unit,target_empty,prediction_empty,threshold,boundary_ratio,dice,iou,precision,sensitivity,specificity,f2,mae,boundary_iou,false_positive_fraction
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9807301249152707,0.96218886566597,0.9804453049370765,0.9810151104223169,0.9990420184008347,0.980901096346802,0.002487731399014592,0.9075513603553581,0.0009132667824074075
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9538558786346397,0.9117824773413897,0.9535545023696682,0.9541574454631678,0.9986316543949958,0.9540367958525637,0.002903697080910206,0.8179237631792377,0.0013292100694444445
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.971539804000537,0.9446547448113823,0.9584161038273077,0.9850279025452565,0.9969586904934864,0.9795879693548823,0.004623535089194775,0.8176821983273597,0.0028392650462962963
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9824942325960103,0.9655908242197919,0.9775857412908453,0.9874522640480087,0.9983924075150107,0.9854630587466652,0.0032192012295126915,0.8930712059458163,0.0015010127314814814
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9829690604598353,0.96650851241976,0.9774202653118825,0.9885812161004853,0.9992529578201309,0.9863286812873825,0.0015737221110612154,0.9231082180634662,0.0007233796296296296
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9777422896496656,0.9564538176137474,0.967219589257504,0.9884964682139253,0.9984285808949516,0.9841665327117827,0.002724821912124753,0.8781102362204725,0.0015010127314814814
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9761289341645127,0.9533709533709533,0.981651376146789,0.9706682794073178,0.9988459097116698,0.9728451933567706,0.003231731243431568,0.855072463768116,0.0010850694444444445
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq01,False,False,0.5,0.02,0.7678942860638689,0.6232373386295929,0.9829800563850892,0.6300361397403292,0.99829587036069,0.6787800129785854,0.05295751988887787,0.42299503193754434,0.0014738859953703704
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9748807631160572,0.9509925558312655,0.9645553691275168,0.9854296121705592,0.9984045315081426,0.9811827956989247,0.0024358651135116816,0.8605960264900663,0.0015281394675925927
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9778411792677127,0.9566430963900261,0.967808734939759,0.9880837978089564,0.9983774397707541,0.9839611085591793,0.0025215386413037777,0.8776266996291718,0.0015462239583333333
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.973539851565021,0.9484438855705752,0.9779578606158833,0.9691615804690009,0.9993673182668242,0.9709081547274249,0.0018149811076000333,0.8839729119638826,0.0006148726851851852
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.9779921892947393,0.9569322064376911,0.9787566672797499,0.9772289046001286,0.9976830723864354,0.9775340754619934,0.005082031711935997,0.8237192416296893,0.0020887586805555555
convnextv2_tiny,cvc_probe,identity,CVC-ClinicDB-VideoProbe,test,CVC-ClinicDB-VideoProbe:clinicdb_seq08,False,False,0.5,0.02,0.964853195164076,0.9320931008592642,0.963937537744802,0.9657705938283343,0.9957787584702544,0.9654034250954776,0.008431712165474892,0.8033269542175769,0.0037796585648148147
