slice,dataset,task,selection_mode,nominal_budget,threshold,max_gap_frames,sequences_or_clips,frames,failure_frames,reviewed_frames,caught_failure_frames,safe_referred_frames,failure_episodes,captured_failure_episodes,residual_failure_episodes,referral_episodes,false_referral_episodes,redundant_failure_hits,within_referral_episode_extra_frames,review_fraction,frame_failure_recall,episode_failure_recall,false_referral_episode_fraction,reviewed_frames_per_sequence_or_clip,referral_episodes_per_sequence_or_clip,false_referral_episodes_per_sequence_or_clip,redundant_failure_hits_per_captured_episode,failure_episode_duration_mean_frames,failure_episode_duration_median_frames,failure_episode_duration_p95_frames,failure_episode_duration_max_frames,captured_episode_duration_mean_frames,captured_episode_duration_median_frames,captured_episode_duration_p95_frames,captured_episode_duration_max_frames,residual_episode_duration_mean_frames,residual_episode_duration_median_frames,residual_episode_duration_p95_frames,residual_episode_duration_max_frames,referral_episode_duration_mean_frames,referral_episode_duration_median_frames,referral_episode_duration_p95_frames,referral_episode_duration_max_frames,false_referral_episode_duration_mean_frames,false_referral_episode_duration_median_frames,false_referral_episode_duration_p95_frames,false_referral_episode_duration_max_frames
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.2,,5,173,29592,3439,5919,1266,4653,301,199,102,477,281,1067,5442,0.20002027575020276,0.36813027042744983,0.6611295681063123,0.589098532494759,34.213872832369944,2.7572254335260116,1.6242774566473988,5.36180904522613,14.548172757475083,4.0,71.0,160,19.884422110552762,7.0,96.79999999999995,160,4.137254901960785,1.0,11.949999999999989,55,15.664570230607966,5.0,83.19999999999999,164,11.583629893238435,3.0,46.0,148
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,0,173,29592,3439,1096,543,553,778,177,601,433,212,366,663,0.037037037037037035,0.15789473684210525,0.2275064267352185,0.4896073903002309,6.335260115606936,2.5028901734104045,1.2254335260115607,2.0677966101694913,4.420308483290489,2.0,17.0,101,6.271186440677966,2.0,24.0,90,3.875207986688852,2.0,15.0,101,2.531177829099307,1.0,7.0,83,1.830188679245283,1.0,6.0,14
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,2,173,29592,3439,1096,543,553,427,126,301,257,115,417,839,0.037037037037037035,0.15789473684210525,0.29508196721311475,0.4474708171206226,6.335260115606936,1.4855491329479769,0.6647398843930635,3.3095238095238093,9.1288056206089,3.0,38.0,126,14.333333333333334,6.0,61.25,116,6.95016611295681,2.0,28.0,126,5.178988326848249,2.0,17.0,103,3.226086956521739,1.0,10.299999999999997,22
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,5,173,29592,3439,1096,543,553,301,105,196,195,79,438,901,0.037037037037037035,0.15789473684210525,0.3488372093023256,0.40512820512820513,6.335260115606936,1.1271676300578035,0.45664739884393063,4.171428571428572,14.548172757475083,4.0,71.0,160,25.323809523809523,8.0,116.8,160,8.775510204081632,3.0,35.5,126,7.97948717948718,3.0,29.89999999999995,103,4.987341772151899,2.0,21.099999999999994,26
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.01,,0,7,27186,24296,273,273,0,1520,123,1397,228,0,150,45,0.010041933348046789,0.011236417517286797,0.08092105263157895,0.0,39.0,32.57142857142857,0.0,1.2195121951219512,15.98421052631579,5.0,63.0,287,53.82113821138211,37.0,167.89999999999992,287,12.652827487473157,4.0,57.40000000000009,161,1.1973684210526316,1.0,2.0,4,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.01,,2,7,27186,24296,273,273,0,271,60,211,200,0,213,73,0.010041933348046789,0.011236417517286797,0.22140221402214022,0.0,39.0,28.571428571428573,0.0,3.55,95.18450184501845,32.0,415.0,1005,278.51666666666665,236.5,642.4499999999998,1005,43.052132701421804,16.0,167.0,375,1.575,1.0,4.0,9,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.01,,5,7,27186,24296,273,273,0,65,28,37,161,0,245,112,0.010041933348046789,0.011236417517286797,0.4307692307692308,0.0,39.0,23.0,0.0,8.75,408.2,145.0,1733.7999999999995,2477,834.0714285714286,621.0,1880.2,2477,85.91891891891892,55.0,367.19999999999993,391,2.9440993788819876,1.0,10.0,22,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.01,case_specific_other_two_cases,0,7,27186,24296,282,282,0,1520,123,1397,236,0,159,46,0.010372986095784595,0.011606848864010536,0.08092105263157895,0.0,40.285714285714285,33.714285714285715,0.0,1.2926829268292683,15.98421052631579,5.0,63.0,287,51.47154471544715,36.0,151.99999999999983,287,12.859699355762348,4.0,59.0,191,1.194915254237288,1.0,2.0,4,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.01,case_specific_other_two_cases,2,7,27186,24296,282,282,0,271,61,210,201,0,221,81,0.010372986095784595,0.011606848864010536,0.22509225092250923,0.0,40.285714285714285,28.714285714285715,0.0,3.622950819672131,95.18450184501845,32.0,415.0,1005,273.9672131147541,233.0,639.0,1005,43.25238095238095,16.0,166.99999999999966,486,1.6467661691542288,1.0,4.0,11,,,,
sun_negative_loco_macro,SUN-SEG,negative_false_positive,train_cases_frozen_threshold,0.01,case_specific_other_two_cases,5,7,27186,24296,282,282,0,65,28,37,158,0,254,124,0.010372986095784595,0.011606848864010536,0.4307692307692308,0.0,40.285714285714285,22.571428571428573,0.0,9.071428571428571,408.2,145.0,1733.7999999999995,2477,830.1071428571429,621.0,1880.2,2477,88.91891891891892,55.0,368.5999999999999,495,3.189873417721519,1.0,10.150000000000006,29,,,,
