slice,dataset,system,temporal_mode,presence_stratum,task,metric,estimate_median,ci_lower_025,ci_upper_975,bootstrap_iterations_valid,cluster_count,independent_unit_type
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auroc,0.7610378681215961,0.6409481370158936,0.8582097894088587,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_01_failure_recall,0.05687816504655088,0.037129995698744846,0.09074054515603747,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_05_failure_recall,0.21824654724699866,0.15795213433772756,0.3083135307211757,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_10_failure_recall,0.3601251299958974,0.26906733987746867,0.5026223971472418,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_20_failure_recall,0.6015245391066087,0.4543131197486724,0.7576823409949867,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auprc,0.3981425412283063,0.2840937627931106,0.5345943345894183,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,aurc,0.07285270797981752,0.03160748309514714,0.13162997722327408,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auroc,0.7664288198394928,0.6573780477163683,0.857241002019751,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_01_failure_recall,0.054255273147475164,0.03769392439860099,0.08550182415690563,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_05_failure_recall,0.21887165889425392,0.1620534271337534,0.3061255501991197,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_10_failure_recall,0.3644104043728523,0.27283067666420047,0.5154222202236753,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_20_failure_recall,0.6021532549836459,0.45580105364665197,0.7637853270109949,1000,39,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auprc,0.36420523841397057,0.26037603573801577,0.5102516236421031,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,aurc,0.055256284386938526,0.018032957359320805,0.11933214441159992,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auroc,0.7529524627330041,0.6485123348986543,0.8553779786336596,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_01_failure_recall,0.051638015661027784,0.027369178906712824,0.09644048136871101,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_05_failure_recall,0.22135934870249324,0.13403638646337604,0.34578600798522124,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_10_failure_recall,0.34835849149162723,0.2456679881855282,0.512055579868709,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,top_20_failure_recall,0.501872043221454,0.3815869692239986,0.70056853222325,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auprc,0.3770865926116609,0.26902705305556923,0.49252200336703983,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,aurc,0.054994309822951115,0.017154786935078496,0.11181557937407358,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,auroc,0.7520551462650914,0.6489254941210167,0.8584586698589555,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_01_failure_recall,0.052403381597799406,0.028683455148006784,0.09876635617653581,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_05_failure_recall,0.21623518031587502,0.1370136899076727,0.34647401595870253,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_10_failure_recall,0.35118918564891977,0.2502824650793343,0.5301182173918453,1000,26,case
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,top_20_failure_recall,0.5001960784313726,0.38529267874175965,0.7015840422237927,1000,26,case
