slice,dataset,source,task,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,exact_rank,0.2,,10073,9041,0.8975479003276084,2015,0.2000397101161521,2015,0.22287357593186594,1.0,1.1141466651919034,1.1141466651919036,0,0.0,7026,0.777126424068134,0.6975081902114564,0.8719285182427401,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,sun_val_frozen_threshold,0.2,0.04186127,10073,9041,0.8975479003276084,2759,0.27390052615903904,2759,0.3051653578144011,1.0,1.1141466651919034,1.1141466651919036,0,0.0,6282,0.694834642185599,0.6236473741685694,0.8589007383100903,0.9897735466938299,0.998775420311313
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,exact_rank,0.01,,7152,6392,0.8937360178970917,72,0.010067114093959731,72,0.011264080100125156,1.0,1.118898623279099,1.118898623279099,0,0.0,6320,0.9887359198998749,0.883668903803132,0.8926553672316384,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,sun_val_frozen_threshold,0.01,0.13528396,7152,6392,0.8937360178970917,97,0.013562639821029083,97,0.015175219023779725,1.0,1.118898623279099,1.118898623279099,0,0.0,6295,0.9848247809762203,0.8801733780760627,0.8922749822820695,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,exact_rank,0.05,,7152,6392,0.8937360178970917,358,0.05005592841163311,358,0.05600750938673342,1.0,1.118898623279099,1.118898623279099,0,0.0,6034,0.9439924906132666,0.8436800894854586,0.8881365911098028,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,sun_val_frozen_threshold,0.05,0.09579211,7152,6392,0.8937360178970917,381,0.05327181208053691,381,0.05960575719649562,1.0,1.118898623279099,1.118898623279099,0,0.0,6011,0.9403942428035044,0.8404642058165548,0.8877566090680845,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,exact_rank,0.1,,7152,6392,0.8937360178970917,716,0.10011185682326622,716,0.11201501877346684,1.0,1.118898623279099,1.118898623279099,0,0.0,5676,0.8879849812265331,0.7936241610738255,0.8819142324425109,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,sun_val_frozen_threshold,0.1,0.07180122,7152,6392,0.8937360178970917,748,0.10458612975391499,748,0.11702127659574468,1.0,1.118898623279099,1.118898623279099,0,0.0,5644,0.8829787234042553,0.7891498881431768,0.8813241723922548,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,exact_rank,0.2,,7152,6392,0.8937360178970917,1431,0.20008389261744966,1431,0.2238735919899875,1.0,1.118898623279099,1.118898623279099,0,0.0,4961,0.7761264080100125,0.693652125279642,0.8671560915923789,0.9855941431723866,0.9981230169669753
sun_test_negative_case3,SUN-SEG,negative_case3,negative_false_positive,sun_val_frozen_threshold,0.2,0.04186127,7152,6392,0.8937360178970917,1512,0.21140939597315436,1512,0.23654568210262827,1.0,1.1188986232790987,1.118898623279099,0,0.0,4880,0.7634543178973717,0.6823266219239373,0.8652482269503546,0.9855941431723866,0.9981230169669753
