predictor,method,split,frames,positive_frames,auroc,auprc,best_f1,best_f1_threshold,recall_at_top10_val_threshold,precision_at_top10_val_threshold,flagged_fraction_top10_val_threshold
spatial_mamba_tiny,scalar_simple_combo,val,14005,9951,0.72942110,0.78483858,0.89710081,-2.13998055,0.07024420,0.49892934,0.10003570
spatial_mamba_tiny,scalar_simple_combo,sunpos_easy_seen,4719,407,0.94499608,0.66763280,0.64398545,-0.27416125,0.11793612,0.87272727,0.01165501
spatial_mamba_tiny,scalar_simple_combo,sunpos_easy_unseen,12351,1663,0.90054812,0.69132749,0.65761513,-0.20621797,0.12507517,0.95852535,0.01756943
spatial_mamba_tiny,scalar_simple_combo,sunpos_hard_seen,3882,316,0.92579797,0.64519828,0.60102302,-0.37291610,0.19620253,1.00000000,0.01597115
spatial_mamba_tiny,scalar_simple_combo,sunpos_hard_unseen,8640,1053,0.88929870,0.61438022,0.58844137,-0.20933668,0.09686610,0.93577982,0.01261574
spatial_mamba_tiny,scalar_simple_combo,sunneg_test,7152,6392,0.06388701,0.77631892,0.94388658,-3.08951187,0.06570713,0.45064378,0.13031320
spatial_mamba_tiny,scalar_small_area,val,14005,9951,0.23050329,0.57056802,0.83077306,-0.83643019,0.03788564,0.26756565,0.10060693
spatial_mamba_tiny,scalar_small_area,sunpos_easy_seen,4719,407,0.57838590,0.36934675,0.42026263,-0.01372466,0.18427518,1.00000000,0.01589320
spatial_mamba_tiny,scalar_small_area,sunpos_easy_unseen,12351,1663,0.79499114,0.65285278,0.62153012,-0.01872185,0.20565244,1.00000000,0.02769007
spatial_mamba_tiny,scalar_small_area,sunpos_hard_seen,3882,316,0.75520031,0.58977435,0.62425447,-0.01126126,0.26582278,1.00000000,0.02163833
spatial_mamba_tiny,scalar_small_area,sunpos_hard_unseen,8640,1053,0.67233595,0.45066063,0.44214612,-0.01492117,0.12155745,1.00000000,0.01481481
spatial_mamba_tiny,scalar_small_area,sunneg_test,7152,6392,0.00594493,0.73410847,0.94388658,-0.86500561,0.03739049,0.23923924,0.13968121
spatial_mamba_tiny,ssm,val,14005,9951,0.84215419,0.91678770,0.91914254,0.20598505,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,ssm,sunpos_easy_seen,4719,407,0.93426265,0.65260571,0.64877480,0.45064485,0.01228501,0.83333333,0.00127146
spatial_mamba_tiny,ssm,sunpos_easy_unseen,12351,1663,0.90359617,0.71446523,0.71668088,0.54907447,0.02826218,0.85454545,0.00445308
spatial_mamba_tiny,ssm,sunpos_hard_seen,3882,316,0.94900324,0.72364869,0.68438536,0.65655667,0.00000000,0.00000000,0.00000000
spatial_mamba_tiny,ssm,sunpos_hard_unseen,8640,1053,0.90293338,0.67025121,0.65107745,0.60251373,0.02943970,0.93939394,0.00381944
spatial_mamba_tiny,ssm,sunneg_test,7152,6392,0.39833005,0.90264961,0.94388658,0.08685388,0.11780350,1.00000000,0.10528523
spatial_mamba_tiny,ssm_reverse_order_control,val,14005,9951,0.84282223,0.91704606,0.92052138,0.20782343,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,ssm_reverse_order_control,sunpos_easy_seen,4719,407,0.93787351,0.67183249,0.65569913,0.46112871,0.01474201,0.85714286,0.00148337
spatial_mamba_tiny,ssm_reverse_order_control,sunpos_easy_unseen,12351,1663,0.90550496,0.72460648,0.72004712,0.57268530,0.03066747,0.82258065,0.00501984
spatial_mamba_tiny,ssm_reverse_order_control,sunpos_hard_seen,3882,316,0.94917186,0.71096028,0.69072169,0.66961432,0.00316456,0.50000000,0.00051520
spatial_mamba_tiny,ssm_reverse_order_control,sunpos_hard_unseen,8640,1053,0.90724688,0.68760881,0.65798700,0.65571851,0.03323837,0.94594595,0.00428241
spatial_mamba_tiny,ssm_reverse_order_control,sunneg_test,7152,6392,0.39582620,0.90242035,0.94388658,0.07832369,0.11858573,1.00000000,0.10598434
spatial_mamba_tiny,ssm_shuffle_order_control,val,14005,9951,0.84003451,0.91299437,0.92644703,0.26327699,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,ssm_shuffle_order_control,sunpos_easy_seen,4719,407,0.93229853,0.64971802,0.63325739,0.40154141,0.00245700,1.00000000,0.00021191
spatial_mamba_tiny,ssm_shuffle_order_control,sunpos_easy_unseen,12351,1663,0.90435418,0.71896053,0.71783167,0.51741862,0.01683704,0.82352941,0.00275281
